Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Jesse Lingard,ENG,MFFW,West Ham,Premier League,27,1992,16,16,1421,15.8,0.57,0.25,0.32,0.09,50,2.53,1.27,34.4,81.3,1.65,4.11,53.8,1.33,42.9,39.7,1.01,3.86,0.7,0,0.13
Pablo Sarabia,ESP,FWMF,Paris S-G,Ligue 1,28,1992,27,13,1320,14.7,0.41,0.27,0.33,0.37,50,2.45,1.23,33.5,76.9,2.04,4.15,53.7,0.75,50,38.6,0.95,3.33,0.48,0.07,0.07
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,22,1997,37,33,2920,32.4,0.34,0.28,0.29,0.11,45.6,2.43,1.11,30.7,80.6,1.73,2.96,50.6,2.72,53.7,39,1.88,3.24,0.56,0.06,0
Stephan El Shaarawy,ITA,FWMF,Roma,Seria A,27,1992,10,6,572,6.4,0.16,0.16,0.2,0.23,43.8,2.52,1.1,29.1,77.5,0.94,1.41,48.3,1.41,50,37.8,1.88,4.84,0.16,0,0
Philipp Förster,GER,FWMF,Stuttgart,Bundesliga,25,1995,25,17,1509,16.8,0.18,0.06,0.25,0.15,55,1.19,0.66,33.6,79.1,1.85,5.48,53.3,0.89,48.4,38.2,0.77,3.45,0.3,0,0
Vincenzo Grifo,ITA,MFFW,Freiburg,Bundesliga,27,1993,31,27,2313,25.7,0.35,0.39,0.31,0.24,43.6,2.14,0.93,33,74.5,1.4,4.59,54.7,1.36,52.2,37.4,0.82,4.63,0.7,0,0.04
Marco Reus,GER,MFFW,Dortmund,Bundesliga,31,1989,32,27,2279,25.3,0.32,0.24,0.4,0.32,44.4,2.13,0.95,36.1,79.8,1.7,3.99,56.4,1.62,54.7,40,0.75,3.64,0.47,0,0.04
Serge Gnabry,GER,FWMF,Bayern Munich,Bundesliga,25,1995,27,20,1644,18.3,0.55,0.11,0.44,0.25,45.8,3.23,1.48,36.6,78.1,2.3,3.66,60.7,1.97,54.5,44.6,1.91,4.32,0.6,0,0
Nicolas Pépé,CIV,FW,Arsenal,Premier League,25,1995,29,16,1616,18,0.56,0.06,0.39,0.05,41.7,2.67,1.11,28.3,75.7,0.94,2.22,51.6,1.72,39.7,38.7,1.72,2.06,0.5,0.11,0.11
Nicola Sansone,ITA,FWMF,Bologna,Seria A,28,1991,26,11,1169,13,0.15,0.15,0.29,0.18,41.9,2.39,1,31.5,77,1.08,3.38,57.7,2,56.5,43.7,1.38,4.15,0.23,0,0
Christian Pulisic,USA,FWMF,Chelsea,Premier League,21,1998,27,18,1738,19.3,0.21,0.1,0.28,0.15,37.2,2.23,0.83,28.6,80,2.07,3.42,52.3,2.38,48.9,40.1,1.4,3.47,0.41,0,0.05
João Félix,POR,FWMF,Atlético Madrid,La Liga,20,1999,31,14,1572,17.5,0.4,0.29,0.29,0.22,38.9,2.06,0.8,32.3,83.4,1.2,4.29,51.8,1.94,51.5,41.5,0.46,2.63,0.57,0.06,0.06
Adil Aouchiche,FRA,MFFW,Saint-Étienne,Ligue 1,18,2002,34,21,1731,19.2,0.1,0.26,0.17,0.27,44.4,1.4,0.62,30.9,71.8,1.41,3.07,55.4,1.72,53.2,37.4,0.68,5.1,0.71,0.05,0.2
Salih Özcan,GER,MFFW,Köln,Bundesliga,22,1998,28,15,1371,15.2,0,0.07,0.04,0.05,45.5,0.72,0.33,36.8,80.5,0.2,2.57,57.9,0.46,43.8,35.8,0.07,1.58,0.2,0,0
Mohamed Salah,EGY,FW,Liverpool,Premier League,28,1992,37,34,3078,34.2,0.64,0.15,0.61,0.18,38.3,3.51,1.35,31.3,83.2,2.16,4.01,51.4,1.46,51,40,1.58,3.42,0.41,0,0.06
Naomichi Ueda,JPN,DF,Nîmes,Ligue 1,25,1994,9,8,711,7.9,0,0,0.01,0.06,50,0.25,0.13,35.2,80.1,0.51,2.66,54.2,0.13,50,34.7,0,0.89,0,0,0
Moussa Diaby,FRA,FWMF,Leverkusen,Bundesliga,21,1999,32,28,2388,26.5,0.15,0.42,0.21,0.26,49,1.92,0.94,27.2,76.1,1.58,2.08,47.2,2.15,46.7,39.6,1.85,10,5,0,5
Joaquín Correa,ARG,FW,Lazio,Seria A,25,1994,28,25,1933,21.5,0.37,0.14,0.39,0.09,40.7,2.51,1.02,27.7,82.2,0.93,2.47,48.1,1.53,46.5,37.1,0.74,3.01,0.6,0.15,0
Raheem Sterling,ENG,FW,Manchester City,Premier League,25,1994,31,28,2536,28.2,0.35,0.25,0.43,0.17,41.8,2.38,0.99,34.1,85.4,1.03,2.2,52.4,2.45,55.2,45,2.2,3.55,0.53,0.11,0.07
Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,26,1993,30,25,2179,24.2,0.25,0.41,0.25,0.23,58.1,1.78,1.03,32.2,74.3,1.74,3.8,57.1,2.56,52.5,42.3,2.07,1.41,0.27,0,0
Kai Havertz,GER,MFFW,Chelsea,Premier League,21,1999,27,18,1520,16.9,0.24,0.18,0.37,0.09,42.9,2.07,0.89,39,86.1,1.12,2.49,58.9,1.3,47.8,43.1,0.95,2.78,0.47,0,0.06
Hannes Wolf,AUT,MFFW,M'Gladbach,Bundesliga,21,1999,32,14,1378,15.3,0.2,0.13,0.13,0.18,43.8,1.04,0.46,28,76.3,0.85,3.01,49.6,1.24,52.8,35.8,0.98,2.16,0.52,0,0
Kévin Zohi,MLI,FWMF,Strasbourg,Ligue 1,23,1996,23,2,436,4.8,0.42,0,0.25,0.02,53.3,3.1,1.65,29.6,76.3,1.25,3.54,54,3.13,57.7,39.8,1.46,1.88,0,0,0
Jeong Woo-yeong,KOR,FWMF,Freiburg,Bundesliga,20,1999,26,7,823,9.1,0.44,0,0.19,0.16,46.2,1.42,0.66,31.1,75.7,2.09,4.84,53.7,1.21,57.9,38.7,0.77,2.97,0.11,0,0
Ayoze Pérez,ESP,MFFW,Leicester City,Premier League,27,1993,25,15,1331,14.8,0.14,0.07,0.22,0.08,41.9,2.1,0.88,25.8,76.6,1.82,3.65,49.7,1.82,49.1,35,0.2,3.24,0.41,0.07,0
Amer Gojak,BIH,MFFW,Torino,Seria A,23,1997,15,6,475,5.3,0.19,0.19,0.15,0.06,37.5,1.52,0.57,35.1,74.1,0.75,1.89,58.1,1.13,50,42.5,0.19,2.64,0.38,0,0.19
Mehdi Zerkane,ALG,MFFW,Bordeaux,Ligue 1,21,1999,27,15,1187,13.2,0.08,0.08,0.14,0.09,46.7,1.14,0.53,36.4,84.5,0.38,2.35,55.2,1.82,57.1,43.2,0.3,2.35,0.3,0,0.08
Gelson Martins,POR,MFFW,Monaco,Ligue 1,25,1995,23,20,1551,17.2,0.17,0.12,0.16,0.16,42.3,1.51,0.64,30.6,83.4,1.16,2.5,52.7,2.5,58.1,44.5,1.05,2.62,0.47,0.06,0.06
Fabio Carvalho,ENG,MFFW,Fulham,Premier League,17,2002,4,3,255,2.8,0.36,0,0.39,0.14,44.4,3.18,1.41,23.9,77.9,0.71,1.79,48.9,2.14,50,34.3,1.43,1.7,0.47,0,0.09
Amine Gouiri,FRA,FWMF,Nice,Ligue 1,20,2000,34,31,2747,30.5,0.39,0.23,0.46,0.17,38.7,2.46,0.95,28.9,76,1.28,2.62,51,1.74,50.5,35.1,1.18,3.97,0.46,0.03,0.07
Junior Sambia,FRA,DFMF,Montpellier,Ligue 1,23,1996,36,26,2448,27.2,0.04,0.22,0.04,0.09,42.1,0.7,0.29,38.1,78.9,1.43,4.71,61.2,1.51,48.8,37.2,0.4,2.39,0.48,0,0
Lukáš Haraslín,SVK,FWMF,Sassuolo,Seria A,24,1996,14,2,333,3.7,0,0,0.24,0.24,41.7,3.24,1.35,27,70.4,2.16,3.24,54.6,1.89,53.8,38.1,1.35,4.59,0.81,0,0
Marc Albrighton,ENG,DFFW,Leicester City,Premier League,30,1989,31,17,1746,19.4,0.05,0.26,0.07,0.23,42.9,1.08,0.46,32.7,68.8,2.16,4.48,59,1.55,50,38.9,0.41,0.4,0.06,0,0
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,22,1998,29,22,1814,20.2,0.35,0.15,0.18,0.17,44.7,2.33,1.04,31.6,75.3,1.34,4.16,54,1.29,57.8,37.6,0.94,0,0,0,0
Yusuf Yazıcı,TUR,FWMF,Lille,Ligue 1,23,1997,32,10,1086,12.1,0.58,0.33,0.46,0.34,44.4,3.73,1.66,29.3,67.7,1.57,4.13,55.6,1.16,45.2,35.8,0.08,5.04,0.58,0.08,0
Maxence Rivera,FRA,MFFW,Saint-Étienne,Ligue 1,18,2002,17,1,239,2.7,0,0,0.04,0.04,50,0.75,0.38,30.4,74.5,0.37,3.33,61.5,1.85,35.7,41.5,0.37,1.85,0,0,0
Lars Stindl,GER,MFFW,M'Gladbach,Bundesliga,31,1988,30,23,1961,21.8,0.64,0.37,0.46,0.26,44.9,2.25,1.01,39.4,82,0.96,3.99,59.9,0.28,42.9,35.9,0.28,3.49,0.55,0,0.14
Duván Zapata,COL,FW,Atalanta,Seria A,29,1991,37,29,2379,26.4,0.57,0.34,0.58,0.25,38.8,3.71,1.44,23.6,76.7,0.95,1.29,48.3,1.52,44,37.5,2.05,3.75,0.61,0,0
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26,1994,22,8,942,10.5,0.1,0.1,0.11,0.12,40,0.96,0.38,30.4,74.5,0.95,2.67,55.5,3.62,57.6,42.8,0.57,0,0,0,0
Fidel,ESP,MFDF,Elche,La Liga,30,1989,30,28,2396,26.6,0.23,0.11,0.15,0.19,43.8,0.6,0.26,34.2,73.7,0.86,3.05,57.5,1.8,57.8,38.7,0.68,2.71,0.23,0,0
Yeremi Pino,ESP,FWMF,Villarreal,La Liga,17,2002,24,6,797,8.9,0.34,0.11,0.17,0.1,35.7,1.58,0.56,27.9,79.2,1.24,3.26,51,2.36,51.2,38.4,1.8,2.58,0.22,0.11,0
Jérôme Hergault,FRA,DF,Lorient,Ligue 1,34,1986,22,19,1625,18.1,0.11,0,0.02,0.01,50,0.22,0.11,38,77.8,0.33,3.65,60.6,0.61,44,34.3,0.06,0.77,0.06,0,0
Adam Marušić,MNE,DF,Lazio,Seria A,27,1992,36,33,2966,33,0.06,0.09,0.06,0.07,44.4,0.82,0.36,41,83.5,0.85,2.73,57.9,0.82,50,36.8,0.3,1.76,0.18,0,0.03
Bruno Peres,BRA,DF,Roma,Seria A,30,1990,30,14,1427,15.9,0.06,0.13,0.08,0.26,50,0.76,0.38,39.8,83,1.13,2.58,56.8,0.88,56,38.6,0.88,2.64,0.25,0,0
Gastón Pereiro,URU,MFFW,Cagliari,Seria A,25,1995,15,2,272,3,0.67,0.67,0.57,0.23,35.7,4.63,1.65,34.7,75.4,2.33,6,60.3,1.33,50,41,0.33,4.67,0.67,0,0.33
Josan,ESP,MFDF,Elche,La Liga,30,1989,33,24,1926,21.4,0.19,0.09,0.08,0.07,53.3,0.7,0.37,28.4,74.9,0.7,2.24,49.4,1.87,53.3,33.5,0.51,1.4,0.14,0,0
Christopher Nkunku,FRA,FWMF,RB Leipzig,Bundesliga,22,1997,28,19,1892,21,0.29,0.29,0.37,0.36,46.4,2.66,1.24,37.5,77.8,1.95,3.67,62.2,1.67,58.3,42.4,1.19,6.19,0.76,0.1,0.05
Yann Gboho,FRA,MFFW,Rennes,Ligue 1,19,2001,10,2,303,3.4,0,0,0.26,0.06,33.3,2.67,0.89,26.8,75.8,1.76,3.82,53.5,3.24,50,44.7,1.47,4.41,0,0,0
Jeremie Boga,CIV,FWMF,Sassuolo,Seria A,23,1997,27,20,1785,19.8,0.2,0.1,0.18,0.06,45.5,1.66,0.76,34.6,88.5,0.86,2.17,52.8,4.19,57.2,46.7,1.21,0.71,0,0,0
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,25,1995,37,33,2956,32.8,0.37,0.34,0.13,0.16,44.9,1.49,0.67,33.7,82.5,1.16,3.02,52.8,1.16,60.3,39.4,0.67,2.29,0.46,0,0
Bukayo Saka,ENG,FWDF,Arsenal,Premier League,18,2001,32,30,2553,28.4,0.18,0.11,0.24,0.17,34.4,2.15,0.74,30.5,74.9,1.02,2.25,54.7,1.48,52.5,39.3,1.3,3.45,0.42,0.04,0
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25,1995,38,29,2393,26.6,0.34,0.3,0.29,0.21,43.4,1.99,0.87,26.5,77.6,1.32,2.59,47.4,2.03,56.8,36.1,0.86,2.06,0.48,0,0.04
Valentin Eysseric,FRA,MFFW,Fiorentina,Seria A,28,1992,16,6,729,8.1,0.25,0,0.27,0.06,38.5,1.6,0.62,32.6,74.2,1.11,3.58,55.4,0.49,36.4,38.5,0.37,1.98,0.25,0,0.12
Ansu Fati,ESP,FW,Barcelona,La Liga,17,2002,7,6,431,4.8,0.83,0,0.38,0.29,50,2.92,1.46,36.3,84.9,1.46,2.29,57.9,3.13,60,47.9,3.33,3.96,0.42,0.21,0
Farid El Melali,ALG,FWMF,Angers,Ligue 1,23,1997,17,4,414,4.6,0,0,0.3,0.02,38.5,2.83,1.09,24.1,75.5,0.87,2.17,54.3,4.78,57.9,45.4,1.52,2.61,0.65,0.22,0
Diogo Jota,POR,FW,Liverpool,Premier League,23,1996,19,12,1112,12.4,0.73,0,0.53,0.13,56.5,3.72,2.1,26.4,72.5,1.13,3.71,51.5,2.1,56.5,37.7,1.61,2.74,0.24,0.08,0
Ander Capa,ESP,DF,Athletic Club,La Liga,28,1992,28,25,2131,23.7,0.08,0.04,0.05,0.07,50,0.51,0.25,38.6,76.2,0.8,3.97,61.1,1.14,47.4,32.2,0.3,2.31,0.38,0,0
Leon Bailey,JAM,FWMF,Leverkusen,Bundesliga,22,1997,30,25,2141,23.8,0.38,0.34,0.29,0.26,38.3,2.52,0.97,28.4,70.3,1.43,2.39,54.5,3.66,56.9,42.8,1.51,1.44,0.28,0.06,0
Musa Barrow,GAM,FWMF,Bologna,Seria A,21,1998,38,34,2921,32.5,0.25,0.25,0.27,0.16,42.2,2.77,1.17,25.8,71.3,0.95,2.71,49.2,1.11,46.2,33,0.8,0.57,0.08,0,0
Fabián Orellana,CHI,MFFW,Valladolid,La Liga,34,1986,30,27,2138,23.8,0.25,0.08,0.25,0.17,50,1.01,0.51,24.9,72.5,1.22,2.73,47.3,1.26,44.1,32.6,0.59,2.9,0.17,0,0
Malick Thiaw,GER,DF,Schalke 04,Bundesliga,18,2001,19,15,1452,16.1,0.06,0,0.03,0.01,50,0.5,0.25,38.6,81.7,0.12,1.68,59.6,0.06,50,32.7,0,0.37,0,0,0
Aboubakar Kamara,MTN,FWMF,Dijon,Ligue 1,25,1995,10,7,557,6.2,0.16,0,0.13,0.11,50,1.14,0.57,18.2,74.8,0.81,1.45,50.6,1.14,50,36.3,0,2.86,0,0,0
Kévin Rodrigues,POR,MFDF,Eibar,La Liga,26,1994,22,11,1095,12.2,0.08,0.08,0.05,0.06,44.4,0.74,0.33,30.8,67.6,0.98,3.77,57.4,1.15,51.9,34.7,0,1.72,0.08,0,0
Andreas Skov Olsen,DEN,FWDF,Bologna,Seria A,20,1999,26,12,1179,13.1,0.15,0.23,0.27,0.16,33.3,2.29,0.76,32,75.5,0.99,2.67,54.9,1.15,42.9,37.9,1.68,3.05,0.15,0,0
Alexis Claude-Maurice,FRA,MFFW,Nice,Ligue 1,22,1998,30,21,1910,21.2,0.19,0.24,0.19,0.15,45.5,1.55,0.71,29.2,80.9,0.47,2.41,48.3,2.03,59.7,38,0.47,0.29,0,0,0
Pablo Maffeo,ESP,DF,Huesca,La Liga,23,1997,25,25,1964,21.8,0.05,0.18,0.03,0.09,45.5,0.5,0.23,34.4,69.6,1.24,3.12,59.5,1.19,53.1,34.2,0.55,2.06,0.32,0,0
Gaetano Letizia,ITA,DF,Benevento,Seria A,30,1990,24,18,1570,17.4,0.17,0.06,0.02,0.08,53.8,0.75,0.4,38.5,75.5,1.84,3.05,60.3,0.57,55.6,37.3,0.11,2.13,0.11,0,0
Gareth Bale,WAL,FW,Tottenham,Premier League,31,1989,20,10,920,10.2,1.08,0.2,0.52,0.19,50,3.72,1.86,27.8,69.6,1.57,3.14,55,2.84,58,36.6,1.08,1.03,0.06,0,0.03
Rony Lopes,POR,FWMF,Nice,Ligue 1,24,1995,28,23,1783,19.8,0.15,0.05,0.16,0.17,39,2.07,0.81,29.8,76.1,1.06,2.47,50,1.67,57.9,37.2,0.81,3.13,0.25,0.05,0
Mathew Leckie,AUS,FWDF,Hertha BSC,Bundesliga,29,1991,17,5,506,5.6,0,0.18,0.02,0.11,50,0.36,0.18,28.6,76.2,1.07,2.32,53.9,0.89,35.7,32.5,0.36,1.61,0.18,0,0
Phil Foden,ENG,FWMF,Manchester City,Premier League,20,2000,28,17,1616,18,0.5,0.28,0.31,0.23,44.4,2.51,1.11,38.2,82,1.33,3.33,59.4,2.39,60.6,43.8,2.06,3.72,0.78,0.06,0.17
Thorgan Hazard,BEL,FWMF,Dortmund,Bundesliga,27,1993,16,8,654,7.3,0.14,0.41,0.08,0.38,44.4,1.24,0.55,41.5,82.3,2.19,4.66,58.5,1.1,57.1,40.8,0.14,2.74,0.41,0,0
Valerio Verre,ITA,MF,Sampdoria,Seria A,26,1994,27,12,998,11.1,0.27,0.27,0.21,0.16,41.7,2.16,0.9,34.5,71.6,2.25,6.22,62.7,1.53,56.7,46.6,0.09,3.69,0.72,0.18,0.09
Fabian Schär,SUI,DF,Newcastle Utd,Premier League,28,1991,18,13,1246,13.8,0.07,0,0.09,0,40,0.72,0.29,32.8,77.7,0.87,2.83,53.4,0.51,53.8,32.1,0,0.65,0.07,0,0
Gerard Deulofeu,ESP,FWMF,Udinese,Seria A,26,1994,13,7,598,6.6,0.15,0.15,0.2,0.17,56.3,2.41,1.35,25.6,68.4,1.82,2.88,47.7,1.52,47.6,37.6,3.33,0.9,0.06,0,0
Carles Pérez,ESP,FWMF,Roma,Seria A,22,1998,21,6,773,8.6,0.23,0.12,0.33,0.15,34.8,2.68,0.93,27.3,77.6,0.58,1.63,48.1,1.86,50,36.3,1.4,3.72,0.58,0.23,0.12
Ainsley Maitland-Niles,ENG,DF,Arsenal,Premier League,22,1997,11,5,490,5.4,0,0,0.02,0.04,50,0.37,0.18,41.9,78.5,0.56,2.59,65.9,1.11,42.9,40.7,0.56,2.04,0.19,0,0
Mërgim Vojvoda,KVX,DF,Torino,Seria A,25,1995,24,17,1359,15.1,0.13,0.13,0.09,0.06,50,0.4,0.2,39.6,77.5,0.93,3.44,60.7,0.79,57.1,37.6,0.07,0.99,0.26,0,0
Matteo Pessina,ITA,MF,Atalanta,Seria A,23,1997,28,21,1645,18.3,0.11,0.11,0.14,0.13,45.5,1.2,0.55,43.6,83.7,1.64,5.14,63,0.93,44.7,47.8,0.38,2.95,0.49,0,0.05
Karol Linetty,POL,MF,Torino,Seria A,25,1995,27,20,1832,20.4,0.05,0,0.04,0.06,42.9,0.34,0.15,29.8,82.7,0.44,2.6,46,0.74,48.4,31.5,0.29,1.76,0.05,0,0.05
Lennart-Marten Czyborra,GER,DF,Genoa,Seria A,21,1999,17,15,1173,13,0.08,0,0.02,0.02,40,0.38,0.15,33,74.5,0.69,2,53.4,0.77,50,30.8,0.15,0.64,0,0,0
Joaquín,ESP,FWMF,Betis,La Liga,39,1981,27,16,1291,14.3,0.14,0.42,0.07,0.17,50,0.84,0.42,42.3,80.3,2.17,3.99,61.4,1.4,57.1,43.3,0.49,3.29,0.56,0,0
Sebastian Rudy,GER,MFDF,Hoffenheim,Bundesliga,30,1990,25,21,1678,18.6,0.05,0.16,0.03,0.12,53.3,0.8,0.43,38.3,73.4,1.29,4.78,62.2,0.48,50,33.7,0.22,2.96,0.27,0,0
Rodrigo Palacio,ARG,FW,Bologna,Seria A,38,1982,36,28,2502,27.8,0.18,0.18,0.3,0.15,44.4,1.94,0.86,26.6,75.6,1.12,2.45,47.9,1.55,58.1,34.2,1.65,3.35,0.58,0,0.07
Ricardo Pereira,POR,DF,Leicester City,Premier League,26,1993,15,10,959,10.7,0,0.09,0.04,0.05,57.1,0.66,0.38,38.4,78.3,1.03,4.11,64.7,1.87,52.6,39.9,0.56,1.78,0.19,0,0
Luis Muriel,COL,FW,Atalanta,Seria A,29,1991,36,16,1436,16,1.38,0.44,1.01,0.31,43.4,5.2,2.26,31.9,70.4,2.19,4.69,64.4,3.44,57.3,47.6,2.13,6.19,1.19,0.25,0.13
Cristian Tello,ESP,FWMF,Betis,La Liga,28,1991,29,12,1283,14.3,0.35,0.21,0.16,0.19,40,2.46,0.98,27.3,78.5,1.47,3.08,45.3,1.33,52.8,33.4,1.4,2.66,0.35,0,0
Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23,1996,30,26,2360,26.2,0.23,0.34,0.23,0.31,39.7,2.59,1.03,26.9,66.6,1.6,5.15,55.3,2.33,51.7,36.5,1.18,3.64,0,0,0
Mason Greenwood,ENG,FW,Manchester Utd,Premier League,18,2001,31,21,1822,20.2,0.35,0.1,0.37,0.09,34.3,3.31,1.14,30.1,83.1,0.84,2.08,47.5,1.88,52.1,38.4,1.73,2.48,0.25,0.1,0
Mattéo Guendouzi,FRA,MF,Hertha BSC,Bundesliga,21,1999,24,19,1818,20.2,0.1,0.05,0.05,0.07,52.9,0.84,0.45,42.9,84.7,0.89,5.25,60.8,0.79,53.3,44.5,0.25,1.88,0.15,0,0
Ben Osborn,ENG,MFDF,Sheffield Utd,Premier League,25,1994,24,17,1604,17.8,0.06,0,0.07,0.12,44.4,0.5,0.22,37.2,78.9,1.57,3.93,57.5,1.01,60,36.6,0.45,1.63,0,0,0
Enis Bardhi,MKD,MFFW,Levante,La Liga,25,1995,26,19,1682,18.7,0.05,0.11,0.16,0.06,36.1,1.93,0.7,36.3,74.9,1.66,4.49,61.1,2.09,55.7,43.7,0.21,1.88,0.21,0,0
Toni Villa,ESP,MFFW,Valladolid,La Liga,25,1995,21,10,969,10.8,0.19,0,0.08,0.12,33.3,1.39,0.46,27,74.7,1.48,4.72,52,2.13,41.1,38.2,1.2,3.7,0.28,0.09,0
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,30,1989,26,26,2306,25.6,0,0,0.01,0.09,44.4,0.35,0.16,39.3,79,0.94,4.57,58.7,0.39,52.6,31.6,0.16,1.68,0,0,0
Thomas Delaine,FRA,DF,Metz,Ligue 1,28,1992,24,19,1779,19.8,0.15,0.1,0.06,0.04,58.8,0.86,0.51,31.4,74.9,0.71,2.37,52.4,1.26,49,31.5,0.76,0,0,0,0
Riyad Mahrez,ALG,FW,Manchester City,Premier League,29,1991,27,23,1949,21.7,0.41,0.28,0.26,0.27,37.9,2.68,1.02,42.1,84.2,2.4,4.06,61.4,1.66,48.6,48.2,2.21,3.87,0.65,0.09,0.05
Adrien Thomasson,FRA,MF,Strasbourg,Ligue 1,26,1993,37,31,2624,29.2,0.17,0.03,0.22,0.16,32.6,1.58,0.51,29.9,76.1,0.79,2.43,51.4,0.92,46.6,36,0.48,2.91,0.31,0.07,0.03
Jaime Seoane,ESP,MF,Huesca,La Liga,23,1997,29,23,2064,22.9,0.04,0.04,0.06,0.05,37.5,1.05,0.39,29.6,76.8,0.48,1.97,48.4,0.83,50,32.1,0.31,1.27,0.04,0,0
Brais Méndez,ESP,MFFW,Celta Vigo,La Liga,23,1997,34,30,2671,29.7,0.3,0,0.25,0.07,42.9,1.65,0.71,31.5,78.8,1.11,3.4,53.7,0.57,31.5,36.3,0.34,1.92,0.51,0.03,0.1
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,13,8,762,8.5,0.12,0,0.07,0.02,42.9,0.83,0.35,34.6,83.3,0.47,3.06,56.1,0.71,54.5,30.8,0.12,0.8,0,0,0
Nolito,ESP,MFFW,Celta Vigo,La Liga,33,1986,36,35,2597,28.9,0.24,0.17,0.22,0.2,45.5,1.91,0.87,25.6,73.5,1.38,4.19,46.3,0.83,47.1,30.2,0.59,2.46,0.45,0,0.03
Moi Gómez,ESP,MFFW,Villarreal,La Liga,26,1994,35,29,2563,28.5,0.14,0,0.15,0.09,41.7,0.84,0.35,38.1,81.7,1.19,3.37,54.8,1.54,61.1,41.3,0.39,2.18,0.14,0,0
Augusto Solari,ARG,MF,Celta Vigo,La Liga,28,1992,16,3,486,5.4,0.37,0.37,0.24,0.24,60,0.93,0.56,26.9,71.8,0.93,2.22,50.9,1.11,42.9,34.4,0.56,2.41,0.37,0,0
Robert Glatzel,GER,FW,Mainz 05,Bundesliga,26,1994,13,3,359,4,0.5,0.25,0.72,0.15,53.8,3.26,1.75,25,69.9,1.25,1.75,50.3,1.75,50,31,1.5,2.75,0.75,0,0.25
Sadio Mané,SEN,FW,Liverpool,Premier League,28,1992,35,31,2810,31.2,0.35,0.22,0.49,0.18,37.6,2.98,1.12,25.7,75.4,2.15,3.37,51,2.69,59.2,38.6,1.73,3.97,0.38,0,0.1
Henrikh Mkhitaryan,ARM,FWMF,Roma,Seria A,31,1989,34,30,2745,30.5,0.43,0.33,0.4,0.3,40.7,2.66,1.08,30.7,76.2,1.57,3.97,52,1.51,60.5,35,1.38,3.57,0.49,0,0.03
Ridle Baku,GER,FWDF,Wolfsburg,Bundesliga,22,1998,32,31,2678,29.8,0.2,0.23,0.11,0.15,35.3,1.14,0.4,36.8,75,1.54,3.99,62.6,1.11,51.6,38.9,0.57,1.76,0.16,0,0
Matheus Pereira,BRA,MFFW,West Brom,Premier League,24,1996,33,30,2577,28.6,0.38,0.21,0.25,0.19,39.3,2.13,0.84,26.7,71.8,1.5,3.32,49.7,1.36,50.6,31.3,0.66,3.6,0.42,0,0
Jonas Hofmann,GER,FWMF,M'Gladbach,Bundesliga,28,1992,24,21,1817,20.2,0.3,0.54,0.24,0.27,34.8,1.14,0.4,37.8,74.4,1.24,3.22,60.6,0.64,46.4,36.4,1.14,4.16,0.59,0,0
Nahitan Nández,URU,MFDF,Cagliari,Seria A,24,1995,32,31,2737,30.4,0.07,0.07,0.08,0.12,43.8,1.05,0.46,30.7,75.5,1.41,2.43,51.9,1.25,61.3,34.9,0.53,2.4,0.43,0.1,0.03
Pablo Hervías,ESP,DFMF,Valladolid,La Liga,27,1993,27,10,1204,13.4,0,0.37,0.04,0.25,50,1.05,0.52,41.5,75.5,1.49,2.99,64,1.42,57.6,42.5,0.6,3.51,0.6,0.07,0.07
Gaetano Castrovilli,ITA,MF,Fiorentina,Seria A,23,1997,34,29,2332,25.9,0.19,0.12,0.14,0.1,42.4,1.27,0.54,23.1,77.3,1.35,3.05,43.8,1.12,47.5,33.1,0.54,1.09,0,0,0
Lorenzo Pellegrini,ITA,MFFW,Roma,Seria A,24,1996,34,30,2598,28.9,0.24,0.21,0.22,0.27,37.1,2.42,0.9,40.1,76.4,1.42,4.36,63.9,1.18,53.1,42.5,0.35,4.33,0.45,0.03,0.07
Ryan Sessegnon,ENG,DF,Hoffenheim,Bundesliga,20,2000,23,17,1574,17.5,0.11,0.17,0.03,0.1,40,0.29,0.11,41.5,77.8,1.43,4.11,65.5,0.8,43.8,39.9,0.34,1.49,0.17,0,0
Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,20,1999,31,28,2369,26.3,0.23,0.11,0.21,0.11,33.9,2.36,0.8,27.6,76,1.22,3.73,51.8,1.63,52.4,34.7,0.57,1.93,0.17,0,0.08
Lucas Moura,BRA,FWMF,Tottenham,Premier League,27,1992,30,14,1411,15.7,0.19,0.25,0.14,0.15,33.3,1.15,0.38,28.5,74.7,0.89,2.99,54.4,2.29,55.4,38.5,0.45,2.29,0.51,0,0.06
