Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,X90sPlayed,Goals,Ast,xG,xA,SoT.,Sh.90,SoT.90,CmpPass,CmpPass.,PPA,Prog,Touches,SuccDrib,SuccDrib.,Carries,CarryToBox,SCA,GCA,GCADrib,GCASh
Yoshinori Mutō,JPN,FWMF,Eibar,La Liga,28,1992,26,13,1122,12.5,0.08,0.08,0.16,0.09,28.6,1.68,0.48,13,67.6,0.24,1.12,30.2,1.36,70.8,18.1,0.4,2.24,0.16,0,0
Rúben Vinagre,POR,DF,Wolves,Premier League,21,1999,2,1,173,1.9,0,0,0,0,0,0,0,43.2,83.7,0.53,1.05,63.2,1.58,42.9,35.3,0,0,0,0,0
Yan Brice Eteki,CMR,MF,Granada,La Liga,22,1997,25,16,1321,14.7,0,0,0.02,0,42.9,0.48,0.2,18.9,77.9,0.14,1.63,32.7,0.34,83.3,18.4,0,0.63,0.48,0,0
Marvin Plattenhardt,GER,DF,Hertha BSC,Bundesliga,28,1992,16,12,1071,11.9,0,0.17,0.01,0.11,0,0.25,0,44.4,75.6,0.92,4.2,65.8,0.34,50,39.1,0.08,2.18,0.25,0,0
Kévin N'Doram,FRA,MF,Metz,Ligue 1,24,1996,6,4,307,3.4,0,0,0,0,0,0,0,32.9,86.8,0,2.94,44.1,0.59,50,31.5,0,0.88,0,0,0
Nicolás Domínguez,ARG,MF,Bologna,Seria A,22,1998,28,15,1255,13.9,0.07,0,0.11,0.17,27.8,1.29,0.36,44.2,86.1,1.01,4.53,63.2,0.65,90,35.6,0.14,3.17,0,0,0
Eddy Sylvestre,FRA,FWMF,Nice,Ligue 1,20,1999,4,1,97,1.1,0,0,0,0,0,0,0,29.1,84.2,0,1.82,42.7,0.91,50,30.9,0,1.82,0.91,0,0
Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,24,16,1510,16.8,0.12,0.06,0.1,0.01,33.3,0.72,0.24,58.8,92.4,0,1.55,72.1,0.24,80,51,0.06,0.3,0.04,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Seria A,27,1992,32,6,1056,11.7,0,0.09,0.08,0.08,8.3,1.02,0.09,24.6,81.4,0.68,2.39,44.3,1.62,73.1,28.4,0.26,1.19,0,0,0
Rodrigo Bentancur,URU,MF,Juventus,Seria A,23,1997,33,27,2324,25.8,0,0.16,0.03,0.1,33.3,0.58,0.19,64,89.2,0.74,6.63,82.2,0.97,64.1,56.5,0.16,0.66,0,0,0
Facundo Ferreyra,ARG,FW,Celta Vigo,La Liga,29,1991,13,2,300,3.3,0.3,0,0.42,0,28.6,2.1,0.6,10.9,65.5,0,0.61,28.2,0.3,33.3,14.8,0.3,0.61,0,0,0
Julien Laporte,FRA,DF,Lorient,Ligue 1,26,1993,30,30,2659,29.5,0,0,0.01,0.01,12.5,0.27,0.03,41.7,86.5,0.2,2.31,60.9,0.14,80,35.8,0,0.58,0.07,0,0
Çağlar Söyüncü,TUR,DF,Leicester City,Premier League,24,1996,23,19,1819,20.2,0.05,0,0.02,0.01,33.3,0.45,0.15,59.5,89,0.25,3.56,77.4,0.35,77.8,49.5,0,0.5,0,0,0
Houboulang Mendes,FRA,DF,Lorient,Ligue 1,22,1998,17,15,1297,14.4,0,0,0.01,0.02,0,0.28,0,30.1,72.5,0.56,2.08,53.9,0.49,38.9,27.6,0.07,0.69,0.07,0,0
Antonio Barreca,ITA,DF,Fiorentina,Seria A,25,1995,3,1,85,0.9,0,0,0.22,0,50,2.12,1.06,34.4,64.6,1.11,5.56,60,0,0,27.8,1.11,0.85,0.24,0.04,0
Philippe Coutinho,BRA,MFFW,Barcelona,La Liga,28,1992,12,8,654,7.3,0.27,0.27,0.53,0.12,32.1,3.85,1.24,62.2,86.8,2.05,6.03,82.3,1.51,61.1,64.1,2.19,0.11,0,0,0
Lyanco,BRA,DF,Torino,Seria A,23,1997,23,21,1959,21.8,0,0,0.04,0.01,25,0.55,0.14,49.4,86.4,0.23,2.94,67.3,0.87,86.4,44.5,0.05,0.6,0.05,0,0
Leo Dubois,FRA,DF,Lyon,Ligue 1,25,1994,37,35,2903,32.3,0.06,0.12,0.03,0.18,15,0.62,0.09,56.3,79.4,1.67,6.75,80.7,1.08,62.5,46.6,0.62,3.59,0.31,0.03,0.03
Keven Schlotterbeck,GER,DF,Freiburg,Bundesliga,23,1997,24,18,1654,18.4,0,0,0.03,0.01,11.1,0.49,0.05,36.3,82.5,0.16,2.34,54.9,0.22,80,31.7,0,0.33,0,0,0
Neymar,BRA,MFFW,Paris S-G,Ligue 1,28,1992,18,15,1415,15.7,0.57,0.32,0.78,0.46,25,4.07,1.02,49.4,77.8,3.69,8.47,85.2,6.18,58.4,70.6,1.46,8.28,1.02,0.13,0.06
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,23,1997,25,14,1269,14.1,0.07,0.07,0.17,0.13,24,1.77,0.43,13.1,70.6,0.57,0.78,30.6,1.28,69.2,18.5,1.42,0,0,0,0
Daam Foulon,BEL,DF,Benevento,Seria A,21,1999,23,11,1021,11.3,0,0.09,0,0.03,0,0.09,0,29.9,73.8,0.53,2.74,50.8,0.44,41.7,26.2,0.18,0.88,0.09,0,0
Andri Fannar Baldursson,ISL,MF,Bologna,Seria A,18,2002,8,1,217,2.4,0,0,0.08,0.04,0,0.83,0,22.9,78.6,0.83,2.08,46.3,0.42,50,28.3,0,1.67,0.42,0,0
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21,1999,3,0,36,0.4,0,0,0.5,0,0,2.5,0,17.5,70,0,0,45,2.5,50,37.5,2.5,0,0,0,0
Cifu,ESP,DF,Elche,La Liga,29,1990,11,4,451,5,0,0,0.02,0,0,0.6,0,32.4,74,0,1.6,54.8,0.6,37.5,27.4,0,0.33,0,0,0
Florian Hübner,GER,DF,Union Berlin,Bundesliga,29,1991,6,6,525,5.8,0,0,0.02,0,33.3,0.51,0.17,30.5,74.4,0.34,2.24,54,0,0,27.4,0,0,0,0,0
