Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Yunus Musah,USA,MF,Valencia,La Liga,17,69.49044084
Giacomo Raspadori,ITA,FWMF,Sassuolo,Seria A,20,69.48492504
Mikel Rico,ESP,MF,Huesca,La Liga,35,69.45916177
Yuri Berchiche,ESP,DF,Athletic Club,La Liga,30,69.43405653
Matt Doherty,IRL,DF,Tottenham,Premier League,28,69.3886704
Rafael Tolói,ITA,DF,Atalanta,Seria A,29,69.38626452
Vincent Manceau,FRA,DF,Angers,Ligue 1,31,69.37340861
Jonathan Ikone,FRA,MFFW,Lille,Ligue 1,22,69.28699298
Mohamed Simakan,FRA,DF,Strasbourg,Ligue 1,20,69.22982775
Yoane Wissa,COD,FWMF,Lorient,Ligue 1,23,69.21391873
Ahmad Benali,LBY,MF,Crotone,Seria A,28,69.18504422
Tommaso Pobega,ITA,MF,Spezia,Seria A,21,69.15576229
Andros Townsend,ENG,MFFW,Crystal Palace,Premier League,29,69.10728241
Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,23,69.0866841
Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,23,69.07463986
Kenny Lala,FRA,DF,Strasbourg,Ligue 1,28,69.05868781
Luiz Araújo,BRA,MF,Lille,Ligue 1,24,69.05052989
Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,26,69.04726506
Lukas Kübler,GER,DF,Freiburg,Bundesliga,27,69.03922966
Romelu Lukaku,BEL,FW,Inter,Seria A,27,69.02986439
André Silva,POR,FW,Eint Frankfurt,Bundesliga,24,69.01239119
Charalambos Lykogiannis,GRE,DF,Cagliari,Seria A,26,68.99567772
Jakub Jankto,CZE,MF,Sampdoria,Seria A,24,68.98762021
John Fleck,SCO,MF,Sheffield Utd,Premier League,28,68.9755822
Callum Hudson-Odoi,ENG,FWDF,Chelsea,Premier League,19,68.97144057
Anthony Briançon,FRA,DF,Nîmes,Ligue 1,25,68.96573668
Florian Sotoca,FRA,FW,Lens,Ligue 1,29,68.95265229
Oihan Sancet,ESP,FWMF,Athletic Club,La Liga,20,68.92382906
Danny Latza,GER,MF,Mainz 05,Bundesliga,30,68.91115313
Allan,BRA,MF,Everton,Premier League,29,68.88983124
Thomas Müller,GER,MF,Bayern Munich,Bundesliga,30,68.88159387
Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35,68.84906903
Lucas Perrin,FRA,DFFW,Marseille,Ligue 1,21,68.84863085
Ángel Di María,ARG,FWMF,Paris S-G,Ligue 1,32,68.833518
Martín Cáceres,URU,DF,Fiorentina,Seria A,33,68.82043778
Ruslan Malinovskyi,UKR,FWMF,Atalanta,Seria A,27,68.81719384
Federico Dimarco,ITA,DF,Hellas Verona,Seria A,22,68.80904137
Thomas Foket,BEL,DF,Reims,Ligue 1,25,68.79864426
Përparim Hetemaj,FIN,MF,Benevento,Seria A,33,68.77494275
Nordi Mukiele,FRA,DF,RB Leipzig,Bundesliga,22,68.77183163
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,23,68.74175309
Richarlison,BRA,FW,Everton,Premier League,23,68.71739621
Ainsley Maitland-Niles,ENG,MF,West Brom,Premier League,22,68.7108693
Jeremy Doku,BEL,MFFW,Rennes,Ligue 1,18,68.63196213
Nassim Boujellab,MAR,MFFW,Schalke 04,Bundesliga,21,68.60083122
Ashley Westwood,ENG,MF,Burnley,Premier League,30,68.59967516
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,28,68.58258604
Lucas Ocampos,ARG,FW,Sevilla,La Liga,26,68.58253989
Silas Katompa,COD,DFFW,Stuttgart,Bundesliga,21,68.56881803
Rayan Cherki,FRA,FWMF,Lyon,Ligue 1,16,68.56209294
Vladimír Coufal,CZE,DF,West Ham,Premier League,27,68.54206777
Andoni Gorosabel,ESP,DF,Real Sociedad,La Liga,23,68.53892564
Anderson Lucoqui,ANG,DF,Arminia,Bundesliga,23,68.53140931
Arnaud Kalimuendo,FRA,FW,Lens,Ligue 1,18,68.52232061
Andrea Favilli,ITA,FW,Hellas Verona,Seria A,23,68.52073222
Suat Serdar,GER,MF,Schalke 04,Bundesliga,23,68.49563998
Timo Becker,GER,DF,Schalke 04,Bundesliga,23,68.48984449
Davide Calabria,ITA,DF,Milan,Seria A,23,68.48568738
Sergio Álvarez,ESP,MFDF,Eibar,La Liga,28,68.46612932
Javier Ontiveros,ESP,FWMF,Huesca,La Liga,22,68.45882374
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,68.42053515
Sehrou Guirassy,FRA,FW,Rennes,Ligue 1,24,68.38581806
Antonio Sanabria,PAR,FW,Torino,Seria A,24,68.3827294
Edimilson Fernandes,SUI,MFDF,Mainz 05,Bundesliga,24,68.36975656
Ezri Konsa,ENG,DF,Aston Villa,Premier League,22,68.36583809
Zeki Çelik,TUR,DF,Lille,Ligue 1,23,68.36156451
Giacomo Bonaventura,ITA,MF,Fiorentina,Seria A,30,68.35968869
Jeff Reine-Adélaïde,FRA,MFFW,Nice,Ligue 1,22,68.32434847
Marvin Friedrich,GER,DF,Union Berlin,Bundesliga,24,68.30605421
Mario Gaspar,ESP,DF,Villarreal,La Liga,29,68.27079421
Emile Smith-Rowe,ENG,MFFW,Arsenal,Premier League,20,68.26517843
Dennis Praet,BEL,MFFW,Leicester City,Premier League,26,68.23718999
Marvelous Nakamba,ZIM,MF,Aston Villa,Premier League,26,68.2329715
Gervinho,CIV,FW,Parma,Seria A,33,68.23032106
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,68.19865883
Rubén García,ESP,MFFW,Osasuna,La Liga,27,68.19412633
Jota,POR,MFFW,Valladolid,La Liga,21,68.18250953
Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29,68.17203431
Hakan Çalhanoğlu,TUR,MFFW,Milan,Seria A,26,68.11905585
Raphael Dias Belloli,BRA,FWMF,Rennes,Ligue 1,23,68.11502548
Arkadiusz Reca,POL,DF,Crotone,Seria A,25,68.11058483
Jairo Izquierdo,ESP,MFDF,Cádiz,La Liga,26,68.09913324
Ismail Jakobs,GER,DFMF,Köln,Bundesliga,20,68.06958503
Milot Rashica,KVX,FWMF,Werder Bremen,Bundesliga,24,68.05078248
Iker Muniain,ESP,MFFW,Athletic Club,La Liga,27,68.02853147
Florian Kainz,AUT,FWMF,Köln,Bundesliga,27,68.01552251
Álvaro Morata,ESP,FW,Juventus,Seria A,27,68.00335486
Nampalys Mendy,SEN,MF,Leicester City,Premier League,28,67.99038738
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,67.96452123
Youcef Attal,ALG,DFMF,Nice,Ligue 1,24,67.93637107
Harry Kane,ENG,FW,Tottenham,Premier League,27,67.92288043
Marius Bülter,GER,FWMF,Union Berlin,Bundesliga,27,67.90292381
Marco Asensio,ESP,FWMF,Real Madrid,La Liga,24,67.84757396
Nabil Fekir,FRA,MFFW,Betis,La Liga,27,67.84436441
Julian Brandt,GER,FWMF,Dortmund,Bundesliga,24,67.83269206
Lucas Höler,GER,FWMF,Freiburg,Bundesliga,26,67.82702376
Gaël Kakuta,COD,MFFW,Lens,Ligue 1,29,67.81240146
Moussa Niakhate,FRA,DF,Mainz 05,Bundesliga,24,67.81164186
Tanguy Ndombele,FRA,MF,Tottenham,Premier League,23,67.81138866
Pere Milla,ESP,FWMF,Elche,La Liga,27,67.8083691
Dimitri Liénard,FRA,MF,Strasbourg,Ligue 1,32,67.7921671
Geoffrey Kondogbia,CTA,MFFW,Atlético Madrid,La Liga,27,67.76932982
Ben Johnson,ENG,DF,West Ham,Premier League,20,67.74725748
Kike,ESP,FW,Eibar,La Liga,30,67.7450996
Bersant Celina,KVX,MFFW,Dijon,Ligue 1,23,67.73866401
Alexis Saelemaekers,BEL,FW,Milan,Seria A,21,67.73067401
Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,67.71277342
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27,67.64900156
Lucas Douath,FRA,MF,Saint-Étienne,Ligue 1,16,67.6373147
Moussa Doumbia,MLI,MFFW,Reims,Ligue 1,25,67.62610156
Kevin Volland,GER,FWMF,Monaco,Ligue 1,28,67.61540644
Opa Nguette,SEN,FWMF,Metz,Ligue 1,26,67.5889201
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,67.5869409
José Campaña,ESP,MF,Levante,La Liga,27,67.57975478
Luis Rioja,ESP,MFDF,Alavés,La Liga,26,67.5409535
Habib Maïga,CIV,MF,Metz,Ligue 1,24,67.54011399
Alessandro Deiola,ITA,MF,Cagliari,Seria A,24,67.4560574
Adrián López,ESP,FWMF,Osasuna,La Liga,32,67.42045273
Theo Walcott,ENG,MFFW,Southampton,Premier League,31,67.39275234
Ciro Immobile,ITA,FW,Lazio,Seria A,30,67.35340906
Enda Stevens,IRL,DF,Sheffield Utd,Premier League,30,67.3137353
Ola Aina,NGA,DF,Fulham,Premier League,23,67.30916948
Jon Guridi,ESP,MF,Real Sociedad,La Liga,25,67.29950306
Pape Matar Sarr,SEN,MF,Metz,Ligue 1,17,67.27625327
Cengiz Ünder,TUR,MFFW,Leicester City,Premier League,23,67.27562071
Sandro Ramírez,ESP,FWMF,Huesca,La Liga,25,67.23338437
Álex Moreno,ESP,DF,Betis,La Liga,27,67.21978341
Ilija Nestorovski,MKD,FWMF,Udinese,Seria A,30,67.21037664
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,23,67.20390877
Dion Moise Sahi,CIV,FWMF,Strasbourg,Ligue 1,18,67.16172964
Claudio Terzi,ITA,DF,Spezia,Seria A,36,67.15077931
Frederic Guilbert,FRA,DF,Strasbourg,Ligue 1,25,67.14556042
Sergio Gómez,ESP,MFFW,Huesca,La Liga,19,67.12382017
Romain Perraud,FRA,DF,Brest,Ligue 1,22,67.11988595
Carles Aleñá,ESP,MFFW,Getafe,La Liga,22,67.0864891
Justin Kluivert,NED,FWMF,Roma,Seria A,21,67.0715837
Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,20,67.0669634
Adrien Hunou,FRA,FWMF,Rennes,Ligue 1,26,67.04694248
Diego Farias,BRA,FW,Spezia,Seria A,30,67.02792697
Ryan Bertrand,ENG,DF,Southampton,Premier League,30,67.01109884
Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,29,67.00702499
Myziane Maolida,FRA,FWMF,Nice,Ligue 1,21,66.98215483
Yann Karamoh,FRA,FWMF,Parma,Seria A,22,66.97896579
Kyle Edwards,ENG,MFFW,West Brom,Premier League,22,66.9750564
Martin Erlic,CRO,DF,Spezia,Seria A,22,66.97247966
Peter Pekarík,SVK,DF,Hertha BSC,Bundesliga,33,66.96473551
Ernesto Torregrossa,ITA,FW,Sampdoria,Seria A,28,66.95106961
Antonee Robinson,USA,DF,Fulham,Premier League,22,66.93737609
Gary Cahill,ENG,DF,Crystal Palace,Premier League,34,66.92296718
Andy Delort,ALG,FW,Montpellier,Ligue 1,28,66.92158105
Timothee Pembele,FRA,DF,Paris S-G,Ligue 1,17,66.90954972
Almamy Touré,MLI,DF,Eint Frankfurt,Bundesliga,24,66.90284151
Ruben Loftus-Cheek,ENG,MFFW,Fulham,Premier League,24,66.90186863
Mario Pašalić,CRO,MFFW,Atalanta,Seria A,25,66.88278846
Saúl Ñíguez,ESP,MFDF,Atlético Madrid,La Liga,25,66.79749407
Orel Mangala,BEL,MF,Stuttgart,Bundesliga,22,66.78039735
Mateo Klimowicz,GER,FWMF,Stuttgart,Bundesliga,20,66.75761441
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,66.73152694
Johan Mojica,COL,DFFW,Atalanta,Seria A,27,66.72697639
Matteo Darmian,ITA,DF,Inter,Seria A,30,66.72132064
Arnaud Nordin,FRA,MFFW,Saint-Étienne,Ligue 1,22,66.71244827
Quentin Boisgard,FRA,MFFW,Lorient,Ligue 1,23,66.70454986
Can Bozdogan,GER,MF,Schalke 04,Bundesliga,19,66.69634104
Emmanuel Gyasi,GHA,FW,Spezia,Seria A,26,66.69486976
Grischa Prömel,GER,MF,Union Berlin,Bundesliga,25,66.68257063
Steven Zuber,SUI,DFMF,Eint Frankfurt,Bundesliga,28,66.67663132
Marcel Sabitzer,AUT,MF,RB Leipzig,Bundesliga,26,66.66970447
Coke,ESP,DF,Levante,La Liga,33,66.65042579
Lucas Torró,ESP,MF,Osasuna,La Liga,26,66.60818064
Mattias Svanberg,SWE,MF,Bologna,Seria A,21,66.54030335
Jean-Paul Boëtius,NED,MFFW,Mainz 05,Bundesliga,26,66.51796302
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,22,66.49849108
Raúl Guti,ESP,MF,Elche,La Liga,23,66.44496163
Niklas Stark,GER,DFMF,Hertha BSC,Bundesliga,25,66.43849974
Bruno Fernandes,POR,MF,Manchester Utd,Premier League,25,66.41486192
Aaron Ramsey,WAL,MF,Juventus,Seria A,29,66.41371857
Jérémy Le Douaron,FRA,FWMF,Brest,Ligue 1,22,66.40365496
Óscar Plano,ESP,MFFW,Valladolid,La Liga,29,66.37375876
Georginio Rutter,FRA,FWMF,Rennes,Ligue 1,18,66.34061944
Carlos Fernández,ESP,FW,Sevilla,La Liga,24,66.33725798
Juraj Kucka,SVK,MFFW,Parma,Seria A,33,66.33521127
Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29,66.32628176
Djibril Sow,SUI,MF,Eint Frankfurt,Bundesliga,23,66.3048505
Conor Gallagher,ENG,MF,West Brom,Premier League,20,66.23448209
Omar Mascarell,ESP,MF,Schalke 04,Bundesliga,27,66.21143685
Ethan Ampadu,WAL,DFMF,Sheffield Utd,Premier League,19,66.18214525
Armando Izzo,ITA,DF,Torino,Seria A,28,66.17772036
Benjamin Bourigeaud,FRA,MFFW,Rennes,Ligue 1,26,66.13117215
Joel Ward,ENG,DF,Crystal Palace,Premier League,30,66.11180737
Ritsu Doan,JPN,MFFW,Arminia,Bundesliga,22,66.06809319
Ross Barkley,ENG,MF,Aston Villa,Premier League,26,66.06478673
Lorenzo Insigne,ITA,FW,Napoli,Seria A,29,66.02724768
Andrei Girotto,BRA,DFMF,Nantes,Ligue 1,28,66.01305251
Sam Lammers,NED,FWMF,Atalanta,Seria A,23,65.99701484
Simon Sohm,SUI,MF,Parma,Seria A,19,65.95374323
Nico Schlotterbeck,GER,DF,Union Berlin,Bundesliga,20,65.9336559
Domenico Criscito,ITA,DF,Genoa,Seria A,33,65.93233791
Alex Iwobi,NGA,FWDF,Everton,Premier League,24,65.93218234
Jean-Ricner Bellegarde,FRA,MFFW,Strasbourg,Ligue 1,22,65.9220834
Papu Gómez,ARG,MFFW,Sevilla,La Liga,32,65.91202998
Iñigo Martínez,ESP,DF,Athletic Club,La Liga,29,65.90383159
Aboubakar Kamara,MTN,FWDF,Fulham,Premier League,25,65.88677236
Rick Karsdorp,NED,DF,Roma,Seria A,25,65.86719467
Jordan Lotomba,SUI,DF,Nice,Ligue 1,21,65.82128733
John Lundstram,ENG,MF,Sheffield Utd,Premier League,26,65.81351583
Joël Veltman,NED,DF,Brighton,Premier League,28,65.78639013
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,21,65.76553491
Paulo Dybala,ARG,FW,Juventus,Seria A,26,65.7622343
Kamil Glik,POL,DF,Benevento,Seria A,32,65.76149974
Bobby Reid,JAM,MFDF,Fulham,Premier League,27,65.75411996
Jérôme Roussillon,FRA,DF,Wolfsburg,Bundesliga,27,65.7298541
Christian Kouamé,CIV,FW,Fiorentina,Seria A,22,65.70759559
Burak Yılmaz,TUR,FW,Lille,Ligue 1,35,65.70306282
Leon Goretzka,GER,MF,Bayern Munich,Bundesliga,25,65.69801026
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,65.6583591
Obite N'Dicka,FRA,DF,Eint Frankfurt,Bundesliga,20,65.64688515
Jeison Murillo,COL,DF,Celta Vigo,La Liga,28,65.63776055
Dereck Kutesa,SUI,MFFW,Reims,Ligue 1,22,65.61117769
Divock Origi,BEL,FW,Liverpool,Premier League,25,65.59753061
Nacho Vidal,ESP,DF,Osasuna,La Liga,25,65.59645512
Aaron Cresswell,ENG,DF,West Ham,Premier League,30,65.5713259
Eren Dinkçi,GER,FWMF,Werder Bremen,Bundesliga,18,65.52765166
Ondrej Duda,SVK,FWMF,Köln,Bundesliga,25,65.51108439
Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,26,65.48564936
Matthieu Udol,FRA,DF,Metz,Ligue 1,24,65.4811718
Maximilian Mittelstädt,GER,DF,Hertha BSC,Bundesliga,23,65.47921061
Robin Knoche,GER,DF,Union Berlin,Bundesliga,28,65.43899307
Étienne Capoue,FRA,MF,Villarreal,La Liga,32,65.41022261
Mason Mount,ENG,MFFW,Chelsea,Premier League,21,65.3958962
Andrea Belotti,ITA,FW,Torino,Seria A,26,65.30823585
Hwang Hee-chan,KOR,FWMF,RB Leipzig,Bundesliga,24,65.28975656
Kike Pérez,ESP,MF,Valladolid,La Liga,23,65.27888107
Ibrahima Diallo,FRA,MF,Southampton,Premier League,21,65.26595186
Valère Germain,FRA,FW,Marseille,Ligue 1,30,65.26489096
Jan Thielmann,GER,FWMF,Köln,Bundesliga,18,65.23782947
Thomas Monconduit,FRA,MF,Lorient,Ligue 1,29,65.21131506
Lamine Fomba,FRA,MF,Nîmes,Ligue 1,22,65.19903306
Phillipp Mwene,AUT,DF,Mainz 05,Bundesliga,26,65.1844934
Nick Woltemade,GER,FWMF,Werder Bremen,Bundesliga,18,65.12340326
Keita Endo,JPN,MFFW,Union Berlin,Bundesliga,22,65.00424597
Kieran Tierney,SCO,DF,Arsenal,Premier League,23,64.96191073
Nikola Milenković,SRB,DF,Fiorentina,Seria A,22,64.95049929
Amine Harit,MAR,MFFW,Schalke 04,Bundesliga,23,64.9170312
Dominick Drexler,GER,MFFW,Köln,Bundesliga,30,64.91116987
Theo Hernández,FRA,DF,Milan,Seria A,22,64.90228497
Matty Cash,ENG,DF,Aston Villa,Premier League,22,64.89512712
Ante Rebić,CRO,FW,Milan,Seria A,26,64.85284364
Ruben Aguilar,FRA,DFFW,Monaco,Ligue 1,27,64.84501173
Alfreð Finnbogason,ISL,FW,Augsburg,Bundesliga,31,64.84382416
Enzo Le Fée,FRA,MFFW,Lorient,Ligue 1,20,64.81970011
Rani Khedira,GER,MF,Augsburg,Bundesliga,26,64.81808561
Sergio Reguilón,ESP,DF,Tottenham,Premier League,23,64.75693827
Edin Džeko,BIH,FW,Roma,Seria A,34,64.71845241
Oier Sanjurjo,ESP,MF,Osasuna,La Liga,34,64.70804341
Malik Sellouki,FRA,FWMF,Nice,Ligue 1,20,64.69245123
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,28,64.64874825
Óscar Duarte,CRC,DF,Levante,La Liga,31,64.64650088
Levin Öztunalı,GER,DFFW,Mainz 05,Bundesliga,24,64.62619472
Suso,ESP,FW,Sevilla,La Liga,26,64.61900369
Papakouli Diop,SEN,MF,Eibar,La Liga,34,64.6113408
Javi Martínez,ESP,MFFW,Osasuna,La Liga,20,64.60768304
Reinier,BRA,MFFW,Dortmund,Bundesliga,18,64.59379292
Miha Zajc,SVN,MF,Genoa,Seria A,26,64.59143324
Alexandre Lacazette,FRA,FW,Arsenal,Premier League,29,64.58593217
André Gomes,POR,MF,Everton,Premier League,27,64.56505115
Riccardo Sottil,ITA,MFFW,Cagliari,Seria A,21,64.49058435
Marc-Oliver Kempf,GER,DF,Stuttgart,Bundesliga,25,64.48973247
Ben Mee,ENG,DF,Burnley,Premier League,30,64.46342588
Gaëtan Laborde,FRA,FWMF,Montpellier,Ligue 1,26,64.46215538
Raúl García,ESP,DFMF,Valladolid,La Liga,31,64.45881403
Edu Expósito,ESP,MF,Eibar,La Liga,23,64.36835676
Pierrick Capelle,FRA,MFDF,Angers,Ligue 1,33,64.35373091
Max Lowe,ENG,DF,Sheffield Utd,Premier League,23,64.28533634
Andrea Petagna,ITA,FW,Napoli,Seria A,25,64.24598764
Giuseppe Pezzella,ITA,DF,Parma,Seria A,22,64.21737014
Bryan Dabo,BFA,MF,Benevento,Seria A,28,64.20889496
Jon Moncayola,ESP,MF,Osasuna,La Liga,22,64.19350338
Jannes Horn,GER,DF,Köln,Bundesliga,23,64.16437248
Jean-Philippe Mateta,FRA,FW,Mainz 05,Bundesliga,23,64.12681363
Willian,BRA,FWMF,Arsenal,Premier League,31,64.1259035
Téji Savanier,FRA,MF,Montpellier,Ligue 1,28,64.11790001
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,64.09741513
Darwin Machís,VEN,FWMF,Granada,La Liga,27,64.06451475
Jaime Mata,ESP,FW,Getafe,La Liga,31,64.02893524
Josh Onomah,ENG,MF,Fulham,Premier League,23,64.02800534
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,26,64.00533095
Roberto Torres,ESP,MFFW,Osasuna,La Liga,31,63.99332145
Ignacio Pussetto,ARG,FW,Udinese,Seria A,24,63.98614572
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29,63.97784987
José Luis Gayà,ESP,DF,Valencia,La Liga,25,63.95823118
Jonathan David,CAN,FW,Lille,Ligue 1,20,63.93842211
Callum Robinson,IRL,FWMF,West Brom,Premier League,25,63.92181407
Daniel Wass,DEN,MFDF,Valencia,La Liga,31,63.90729021
Benjamin Stambouli,FRA,MFDF,Schalke 04,Bundesliga,29,63.90727082
Sebastiaan Bornauw,BEL,DF,Köln,Bundesliga,21,63.8916187
Stefano Sensi,ITA,MF,Inter,Seria A,24,63.89048463
Antonio Puertas,ESP,FWMF,Granada,La Liga,28,63.79444932
Shane Long,IRL,FW,Southampton,Premier League,33,63.79426841
Lautaro Martínez,ARG,FW,Inter,Seria A,22,63.79181584
Ignatius Ganago,CMR,FW,Lens,Ligue 1,21,63.77918554
Takehiro Tomiyasu,JPN,DF,Bologna,Seria A,21,63.77145186
Ishak Belfodil,ALG,FW,Hoffenheim,Bundesliga,28,63.76513695
Michail Antonio,JAM,FW,West Ham,Premier League,30,63.74193883
Jaïro Riedewald,NED,MF,Crystal Palace,Premier League,23,63.71780878
Max Kruse,GER,FWMF,Union Berlin,Bundesliga,32,63.7126923
Clément Michelin,FRA,DF,Lens,Ligue 1,23,63.66081591
M'Bala Nzola,ANG,FW,Spezia,Seria A,23,63.64683783
Aihen Muñoz,ESP,DF,Real Sociedad,La Liga,22,63.63623919
Luka Milivojević,SRB,MF,Crystal Palace,Premier League,29,63.62159707
Takefusa Kubo,JPN,MFFW,Getafe,La Liga,19,63.61355197
Lisandro Magallán,ARG,DF,Crotone,Seria A,26,63.60920721
Christian Benteke,BEL,FW,Crystal Palace,Premier League,29,63.60758596
Ximo Navarro,ESP,DF,Alavés,La Liga,30,63.57789408
Romano Schmid,AUT,FWMF,Werder Bremen,Bundesliga,20,63.56545046
Noah Katterbach,GER,DF,Köln,Bundesliga,19,63.5642895
Sofyan Amrabat,MAR,MF,Fiorentina,Seria A,23,63.56038008
Adrien Rabiot,FRA,MF,Juventus,Seria A,25,63.51708893
Pasquale Schiattarella,ITA,MF,Benevento,Seria A,33,63.50317274
Dennis Geiger,GER,MF,Hoffenheim,Bundesliga,22,63.47446099
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,22,63.45076608
Soualiho Meïté,FRA,MF,Torino,Seria A,26,63.42349251
Lucas Pérez,ESP,FW,Alavés,La Liga,31,63.41879991
Giorgos Kiriakopoulos,GRE,DF,Sassuolo,Seria A,24,63.40025956
Dani Raba,ESP,MF,Villarreal,La Liga,24,63.39613408
Hernani,BRA,MF,Parma,Seria A,26,63.37647068
Vitinha,POR,MF,Wolves,Premier League,20,63.36931205
Jude Bellingham,ENG,MF,Dortmund,Bundesliga,17,63.33027816
Sergiño Dest,USA,DF,Barcelona,La Liga,19,63.32812385
Giovani Lo Celso,ARG,MF,Tottenham,Premier League,24,63.32441275
Tobias Strobl,GER,MF,Augsburg,Bundesliga,30,63.32401331
Douglas Costa,BRA,MFFW,Juventus,Seria A,29,63.31409671
Kevin Möhwald,GER,MF,Werder Bremen,Bundesliga,27,63.31284557
Karim Onisiwo,AUT,FW,Mainz 05,Bundesliga,28,63.29890192
Neal Maupay,FRA,FWMF,Brighton,Premier League,23,63.26220203
Faitout Maouassa,FRA,DF,Rennes,Ligue 1,22,63.23726343
Issiaga Sylla,GUI,DF,Lens,Ligue 1,26,63.20523135
Morten Thorsby,NOR,MF,Sampdoria,Seria A,24,63.19272219
Ollie Watkins,ENG,FW,Aston Villa,Premier League,24,63.18688821
Filippo Melegoni,ITA,MFDF,Genoa,Seria A,21,63.17466633
Nathan Tella,ENG,FWMF,Southampton,Premier League,21,63.06848636
Mathías Olivera,URU,DF,Getafe,La Liga,22,63.02656629
Santi Mina,ESP,FW,Celta Vigo,La Liga,24,62.99433962
Sead Kolašinac,BIH,DFMF,Schalke 04,Bundesliga,27,62.99245482
Arkadiusz Milik,POL,FW,Marseille,Ligue 1,26,62.98730623
Mickael Malsa,MTQ,MF,Levante,La Liga,24,62.91501517
Josh Maja,NGA,FWMF,Fulham,Premier League,21,62.90296777
Lucas Tousart,FRA,MF,Hertha BSC,Bundesliga,23,62.87485623
Abdoulaye Touré,FRA,MF,Nantes,Ligue 1,26,62.86379125
Yangel Herrera,VEN,MF,Granada,La Liga,22,62.84979004
Patrick Burner,MTQ,DF,Nîmes,Ligue 1,24,62.83512007
Joselu,ESP,FW,Alavés,La Liga,30,62.83007667
Eliot Matazo,BEL,MF,Monaco,Ligue 1,18,62.80712434
Emil Forsberg,SWE,FWMF,RB Leipzig,Bundesliga,28,62.80630295
Unai Núñez,ESP,DF,Athletic Club,La Liga,23,62.77112008
Andrew Gravillon,FRA,DF,Lorient,Ligue 1,22,62.75157587
Jacob Murphy,ENG,DFMF,Newcastle Utd,Premier League,25,62.69375387
Cheikhou Kouyaté,SEN,DF,Crystal Palace,Premier League,30,62.65615446
Ibrahima Niane,SEN,FW,Metz,Ligue 1,21,62.65306037
Hugo Ekitike,FRA,MFFW,Reims,Ligue 1,18,62.64569101
Douglas Luiz,BRA,MF,Aston Villa,Premier League,22,62.6430475
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27,62.64268345
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,62.63819062
Simon Banza,FRA,FW,Lens,Ligue 1,23,62.61988363
Nacho,ESP,DF,Real Madrid,La Liga,30,62.6169089
Jannik Vestergaard,DEN,DF,Southampton,Premier League,27,62.53980246
Federico Bonazzoli,ITA,FW,Sampdoria,Seria A,23,62.52922072
Caio Henrique Oliveira Silva,BRA,DF,Monaco,Ligue 1,23,62.52857489
Dan Burn,ENG,DF,Brighton,Premier League,28,62.52599968
Salvador Ferrer,ESP,DF,Spezia,Seria A,22,62.50818356
Sébastien Haller,CIV,FW,West Ham,Premier League,26,62.50206539
Daishawn Redan,NED,FWMF,Hertha BSC,Bundesliga,19,62.49413113
Óscar Rodríguez Arnaiz,ESP,MFFW,Sevilla,La Liga,22,62.44462622
Georginio Wijnaldum,NED,MF,Liverpool,Premier League,29,62.3983511
Yannik Keitel,GER,MF,Freiburg,Bundesliga,20,62.39269087
Max Kilman,ENG,DF,Wolves,Premier League,23,62.38718702
Niclas Eliasson,SWE,MFFW,Nîmes,Ligue 1,24,62.38421475
Fodé Doucouré,MLI,DF,Reims,Ligue 1,19,62.37350136
Maximilian Philipp,GER,MF,Wolfsburg,Bundesliga,26,62.37225625
Oliver McBurnie,SCO,FW,Sheffield Utd,Premier League,24,62.30494595
Luis Alberto,ESP,MF,Lazio,Seria A,27,62.2906802
Rafael Leão,POR,FW,Milan,Seria A,21,62.25746564
Graziano Pellè,ITA,FW,Parma,Seria A,35,62.2252505
Corentin Jean,FRA,FWMF,Lens,Ligue 1,25,62.22176288
