Player,Nation,Pos,Squad,Comp,Age,SimilarityScore
Mouctar Diakhaby,FRA,DF,Valencia,La Liga,23,75.30905024
Hakim Ziyech,MAR,FWMF,Chelsea,Premier League,27,75.29916803
Jack Grealish,ENG,FWMF,Aston Villa,Premier League,24,75.23957997
Karl Toko Ekambi,CMR,FW,Lyon,Ligue 1,27,75.20304857
Kevin Mbabu,SUI,DF,Wolfsburg,Bundesliga,25,75.1418625
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,75.05178363
Diego Lainez,MEX,FW,Betis,La Liga,20,75.04765943
Soualiho Meïté,FRA,MF,Milan,Seria A,26,75.01589906
Sada Thioub,SEN,FWMF,Angers,Ligue 1,25,74.99743413
Angelo Fulgini,FRA,MF,Angers,Ligue 1,23,74.9819705
James Rodríguez,COL,FWMF,Everton,Premier League,29,74.97056333
Jorge Pombo,ESP,FWMF,Cádiz,La Liga,26,74.93862334
Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,27,74.9253355
Amadou Haidara,MLI,MFDF,RB Leipzig,Bundesliga,22,74.92237451
Goran Pandev,MKD,FWMF,Genoa,Seria A,37,74.9208174
Luis Henrique,BRA,DFFW,Marseille,Ligue 1,18,74.87926554
Ademola Lookman,ENG,FWMF,Fulham,Premier League,22,74.86874854
Eddy Salcedo,ITA,FWMF,Hellas Verona,Seria A,18,74.85293059
Brahim Díaz,ESP,MFFW,Milan,Seria A,20,74.84193966
Farid Boulaya,ALG,MFFW,Metz,Ligue 1,27,74.81371603
Florian Thauvin,FRA,FWMF,Marseille,Ligue 1,27,74.80459169
Tino Kadewere,ZIM,FW,Lyon,Ligue 1,24,74.79732157
Roberto Firmino,BRA,FW,Liverpool,Premier League,28,74.78776686
Hamed Junior Traorè,CIV,FWMF,Sassuolo,Seria A,20,74.73291073
Giulio Maggiore,ITA,MF,Spezia,Seria A,22,74.64484076
Jonas Hector,GER,MF,Köln,Bundesliga,30,74.60707382
Andrea Conti,ITA,DF,Parma,Seria A,26,74.564684
Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20,74.52319094
Anthony Martial,FRA,FW,Manchester Utd,Premier League,24,74.4908781
Maxime Gonalons,FRA,MF,Granada,La Liga,31,74.47029182
Dimitri Foulquier,FRA,DF,Granada,La Liga,27,74.46763035
Wahbi Khazri,TUN,FW,Saint-Étienne,Ligue 1,29,74.46033086
Arthur Masuaku,COD,DFFW,West Ham,Premier League,26,74.45314892
Lamine Gueye,SEN,FWMF,Metz,Ligue 1,22,74.44835035
Riccardo Orsolini,ITA,FWMF,Bologna,Seria A,23,74.43975743
Héctor Bellerín,ESP,DF,Arsenal,Premier League,25,74.43684487
Stevan Jovetić,MNE,FWMF,Monaco,Ligue 1,30,74.42736228
Roberto Insigne,ITA,MFFW,Benevento,Seria A,26,74.40942166
Dimitris Limnios,GRE,MFFW,Köln,Bundesliga,22,74.40562757
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,27,74.38906484
Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,74.38785444
Munir El Haddadi,MAR,FW,Sevilla,La Liga,24,74.34458147
Lucas Martínez Quarta,ARG,DF,Fiorentina,Seria A,24,74.34298147
Timothy Weah,USA,FWMF,Lille,Ligue 1,20,74.32599953
Carlos Soler,ESP,MF,Valencia,La Liga,23,74.31663379
Álex Berenguer,ESP,MFFW,Athletic Club,La Liga,25,74.25106604
Sandro Tonali,ITA,MF,Milan,Seria A,20,74.24740013
Nicolas Viola,ITA,MF,Benevento,Seria A,30,74.23574569
Simone Iacoponi,ITA,DF,Parma,Seria A,33,74.22301026
